Pick,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,QBs in Final 9,RBs in Final 9,WRs in Final 9,TEs in Final 9,Average Points
1st,RB,WR,TE,WR,QB,TE,WR,WR,QB,0,6,3,0,1584
12th,RB,WR,TE,TE,WR,QB,WR,QB,WR,0,6,3,0,1584
6th,RB,WR,RB,QB,WR,RB,QB,WR,TE,0,4,3,2,1584
9th,WR,WR,TE,WR,WR,QB,QB,QB,RB,0,5,4,0,1584
9th,RB,WR,WR,WR,WR,QB,QB,TE,RB,1,5,1,2,1584
1st,WR,WR,RB,QB,WR,WR,WR,RB,RB,1,2,3,3,1584
9th,RB,WR,TE,WR,QB,QB,WR,TE,WR,0,6,3,0,1584
1st,WR,WR,RB,RB,RB,RB,QB,RB,TE,1,0,6,2,1584
1st,WR,WR,RB,QB,WR,RB,TE,WR,QB,0,5,4,0,1584
12th,WR,RB,WR,TE,QB,WR,RB,RB,RB,2,3,3,1,1584
4th,RB,WR,RB,WR,QB,TE,QB,QB,WR,0,3,4,2,1584
1st,RB,WR,WR,WR,TE,QB,RB,WR,WR,1,4,3,1,1584
4th,RB,RB,WR,QB,RB,WR,RB,RB,WR,1,2,4,2,1584
12th,WR,RB,TE,WR,WR,QB,WR,QB,TE,1,3,4,1,1584
9th,RB,WR,WR,QB,WR,TE,WR,RB,QB,0,3,4,2,1584
9th,WR,WR,WR,WR,WR,RB,QB,QB,TE,0,5,3,1,1584
6th,WR,WR,WR,TE,TE,WR,WR,WR,WR,3,6,0,0,1584
6th,WR,RB,RB,RB,WR,WR,TE,QB,TE,1,2,6,0,1584
12th,WR,RB,TE,RB,TE,TE,WR,QB,RB,1,4,4,0,1584
1st,WR,RB,QB,TE,WR,WR,RB,TE,QB,0,5,3,1,1584
1st,WR,WR,WR,WR,WR,WR,WR,TE,TE,3,6,0,0,1584
12th,WR,WR,TE,QB,WR,QB,RB,QB,WR,0,4,3,2,1584
12th,WR,TE,WR,QB,WR,QB,RB,WR,TE,0,5,4,0,1584
4th,RB,RB,WR,TE,WR,QB,QB,QB,TE,0,3,5,1,1584
9th,WR,WR,QB,TE,WR,WR,WR,QB,RB,0,5,3,1,1584
1st,RB,WR,TE,QB,WR,WR,RB,WR,TE,2,3,4,0,1584
9th,WR,WR,WR,WR,WR,RB,QB,QB,TE,0,6,2,1,1584
6th,RB,WR,TE,WR,QB,TE,WR,WR,QB,0,6,3,0,1584
6th,WR,RB,TE,WR,RB,WR,QB,TE,RB,1,2,6,0,1583.99456
4th,RB,WR,QB,WR,WR,TE,QB,RB,RB,0,2,5,2,1583.99136
1st,RB,WR,TE,WR,RB,WR,WR,QB,WR,1,3,3,2,1583.98252
6th,RB,RB,RB,WR,WR,TE,QB,TE,QB,0,2,7,0,1583.97736
12th,TE,RB,WR,QB,TE,WR,WR,RB,RB,1,2,6,0,1583.958
1st,RB,WR,QB,RB,WR,QB,TE,WR,RB,0,2,6,1,1583.9337
1st,RB,WR,QB,RB,WR,WR,WR,TE,QB,0,3,5,1,1583.9281
12th,WR,RB,WR,TE,RB,RB,WR,QB,RB,1,2,5,1,1583.9277
6th,RB,WR,TE,WR,WR,RB,WR,QB,RB,1,2,4,2,1583.89594
12th,WR,WR,RB,WR,WR,RB,RB,QB,TE,1,2,4,2,1583.88238
1st,WR,RB,WR,RB,TE,QB,WR,QB,RB,0,5,3,1,1583.88156
6th,RB,WR,TE,QB,QB,WR,WR,RB,WR,0,3,4,2,1583.87898
4th,RB,RB,RB,WR,WR,QB,WR,QB,WR,0,1,5,3,1583.87562
12th,WR,WR,RB,QB,WR,WR,WR,QB,WR,0,5,0,4,1583.87058
6th,WR,TE,RB,WR,QB,QB,RB,WR,TE,0,6,3,0,1583.86922
6th,RB,WR,QB,QB,RB,WR,RB,RB,WR,0,3,3,3,1583.86506
4th,WR,RB,WR,QB,RB,QB,WR,WR,WR,0,4,3,2,1583.84678
6th,RB,RB,RB,RB,QB,WR,WR,WR,TE,1,0,6,2,1583.84262
4th,WR,RB,WR,TE,WR,WR,QB,RB,WR,1,3,3,2,1583.8424
12th,RB,RB,WR,WR,RB,TE,WR,QB,RB,1,1,6,1,1583.81908
9th,RB,WR,TE,WR,WR,TE,RB,QB,WR,1,4,4,0,1583.80334
4th,RB,QB,WR,WR,RB,TE,RB,QB,RB,0,2,6,1,1583.79388
12th,WR,RB,TE,WR,RB,TE,RB,QB,RB,1,2,6,0,1583.7719
6th,WR,RB,TE,WR,WR,WR,QB,RB,WR,1,4,3,1,1583.7699
6th,RB,WR,WR,TE,TE,WR,RB,RB,WR,2,3,4,0,1583.7666
4th,RB,RB,TE,QB,RB,WR,TE,RB,RB,1,0,8,0,1583.75318
6th,WR,WR,WR,WR,WR,WR,WR,RB,RB,3,4,0,2,1583.74806
1st,WR,WR,WR,WR,RB,RB,QB,WR,TE,1,3,4,1,1583.7092
6th,WR,WR,TE,RB,WR,RB,QB,WR,QB,0,4,4,1,1583.70558
4th,RB,RB,QB,WR,QB,RB,RB,WR,WR,0,1,6,2,1583.69114
1st,RB,RB,RB,WR,WR,TE,RB,QB,WR,1,1,6,1,1583.68886
1st,WR,WR,QB,WR,RB,RB,TE,QB,WR,0,4,4,1,1583.68802
1st,RB,TE,WR,QB,WR,WR,WR,RB,WR,0,6,3,0,1583.68152
9th,RB,RB,RB,WR,WR,QB,TE,WR,RB,1,2,5,1,1583.67874
6th,RB,RB,WR,WR,WR,QB,TE,RB,RB,1,2,5,1,1583.67594
4th,RB,RB,WR,WR,WR,QB,TE,RB,RB,1,4,3,1,1583.67508
4th,WR,RB,WR,WR,QB,WR,WR,RB,QB,0,3,2,4,1583.67404
12th,WR,RB,TE,WR,RB,WR,QB,RB,TE,1,4,4,0,1583.67176
6th,WR,QB,WR,WR,WR,TE,RB,QB,RB,0,5,3,1,1583.65712
6th,RB,WR,QB,RB,QB,QB,TE,WR,WR,0,3,5,1,1583.65532
4th,WR,TE,WR,WR,WR,QB,RB,WR,RB,1,5,2,1,1583.63868
9th,RB,WR,WR,TE,TE,QB,WR,QB,RB,0,3,6,0,1583.63806
6th,RB,WR,TE,WR,RB,WR,WR,QB,WR,1,4,3,1,1583.63162
9th,WR,RB,QB,WR,QB,TE,WR,WR,RB,0,4,4,1,1583.63038
6th,WR,RB,WR,WR,WR,QB,RB,WR,RB,1,3,3,2,1583.62902
9th,WR,WR,QB,QB,RB,WR,RB,TE,WR,0,4,4,1,1583.62428
4th,RB,QB,TE,WR,RB,WR,QB,WR,RB,0,3,5,1,1583.61882
9th,WR,WR,TE,QB,RB,RB,WR,WR,WR,2,4,2,1,1583.61682
4th,RB,WR,QB,RB,QB,WR,TE,WR,RB,0,3,5,1,1583.61142
4th,WR,RB,WR,WR,TE,WR,QB,RB,WR,1,4,3,1,1583.60072
9th,WR,RB,WR,QB,RB,QB,WR,WR,TE,0,4,4,1,1583.59776
9th,RB,WR,RB,WR,WR,QB,WR,WR,WR,1,3,1,4,1583.58606
1st,WR,QB,WR,RB,TE,WR,QB,RB,RB,0,4,4,1,1583.58054
9th,RB,WR,TE,QB,WR,WR,WR,WR,RB,0,6,3,0,1583.5715
9th,WR,WR,RB,RB,WR,QB,RB,WR,RB,1,1,4,3,1583.55876
6th,TE,WR,TE,QB,WR,WR,RB,WR,WR,1,5,3,0,1583.5505
12th,WR,WR,QB,RB,WR,WR,WR,RB,RB,1,3,2,3,1583.54716
6th,RB,RB,WR,WR,WR,TE,QB,RB,WR,1,2,5,1,1583.54294
9th,RB,WR,QB,WR,QB,WR,WR,RB,TE,0,3,4,2,1583.52638
4th,RB,RB,RB,TE,RB,QB,WR,WR,QB,0,2,6,1,1583.52504
1st,RB,WR,WR,WR,TE,RB,QB,WR,RB,1,3,4,1,1583.51996
1st,RB,RB,RB,RB,TE,WR,WR,TE,QB,1,1,7,0,1583.51346
12th,RB,WR,QB,TE,WR,WR,WR,RB,RB,1,3,4,1,1583.5017
6th,RB,WR,WR,WR,RB,QB,TE,WR,RB,1,2,4,2,1583.50062
6th,RB,RB,WR,WR,WR,QB,TE,WR,RB,1,1,6,1,1583.49296
12th,WR,RB,TE,WR,RB,RB,WR,QB,RB,1,3,4,1,1583.45998
6th,RB,QB,RB,TE,WR,WR,WR,RB,WR,1,3,4,1,1583.45908
1st,RB,WR,QB,WR,RB,QB,TE,RB,WR,0,3,5,1,1583.4174
9th,RB,RB,RB,WR,WR,QB,QB,TE,WR,0,1,7,1,1583.41698
1st,WR,WR,WR,RB,RB,WR,QB,TE,WR,1,3,3,2,1583.41142
9th,RB,WR,QB,RB,WR,TE,QB,WR,RB,0,3,5,1,1583.40328
1st,RB,RB,RB,TE,RB,WR,WR,QB,WR,1,2,5,1,1583.40266
9th,RB,RB,WR,WR,WR,QB,TE,RB,RB,1,1,6,1,1583.4011
12th,WR,RB,TE,RB,RB,TE,RB,QB,RB,1,2,6,0,1583.39608
12th,WR,RB,QB,QB,RB,WR,WR,TE,WR,0,4,4,1,1583.39474
1st,RB,WR,WR,RB,WR,WR,QB,TE,WR,1,3,3,2,1583.39318
1st,RB,RB,WR,QB,RB,QB,WR,WR,WR,0,2,5,2,1583.39104
12th,RB,WR,RB,WR,WR,RB,TE,QB,WR,1,2,5,1,1583.376
12th,RB,RB,RB,RB,QB,WR,WR,WR,TE,1,0,6,2,1583.36404
1st,RB,WR,QB,WR,WR,TE,QB,RB,RB,0,3,4,2,1583.36324
1st,RB,RB,RB,TE,RB,WR,WR,QB,WR,1,1,6,1,1583.36154
9th,RB,RB,RB,QB,QB,WR,TE,WR,WR,0,2,5,2,1583.3602
4th,RB,RB,RB,RB,TE,WR,QB,QB,TE,0,1,8,0,1583.3508
6th,RB,WR,TE,QB,WR,WR,WR,WR,RB,0,6,3,0,1583.34156
12th,RB,WR,WR,WR,WR,WR,RB,QB,TE,1,3,3,2,1583.34104
6th,WR,QB,WR,RB,RB,WR,TE,WR,QB,0,5,3,1,1583.3398
12th,WR,WR,WR,RB,RB,TE,WR,QB,WR,1,3,3,2,1583.33824
6th,RB,WR,WR,QB,WR,WR,WR,RB,QB,0,2,3,4,1583.3339
1st,WR,RB,TE,RB,WR,WR,QB,QB,WR,0,4,4,1,1583.33204
6th,WR,RB,TE,RB,WR,RB,QB,WR,QB,0,4,4,1,1583.3311
4th,RB,RB,WR,WR,RB,QB,RB,TE,WR,1,3,4,1,1583.3281
9th,RB,WR,RB,WR,WR,WR,WR,QB,RB,1,2,2,4,1583.31306
9th,RB,RB,RB,QB,WR,RB,WR,RB,RB,1,0,6,2,1583.30508
1st,RB,RB,RB,RB,QB,QB,WR,WR,TE,0,0,8,1,1583.30302
6th,RB,RB,WR,WR,QB,RB,WR,WR,TE,1,2,4,2,1583.262
12th,WR,WR,QB,TE,WR,RB,RB,RB,WR,1,3,4,1,1583.23274
6th,WR,RB,WR,QB,WR,WR,TE,RB,WR,1,3,4,1,1583.21676
9th,RB,RB,TE,QB,WR,RB,QB,RB,WR,0,1,7,1,1583.21254
4th,RB,WR,QB,QB,WR,WR,WR,RB,TE,0,3,4,2,1583.20408
1st,RB,RB,RB,QB,RB,WR,TE,RB,TE,1,0,8,0,1583.20206
9th,WR,WR,QB,RB,QB,WR,RB,WR,RB,0,3,4,2,1583.1864
12th,RB,WR,QB,RB,QB,WR,RB,WR,WR,0,2,5,2,1583.17134
1st,RB,WR,QB,TE,RB,QB,RB,WR,WR,0,2,6,1,1583.16072
4th,RB,WR,TE,QB,QB,RB,RB,WR,WR,0,1,7,1,1583.15906
1st,WR,WR,TE,WR,WR,RB,WR,RB,QB,1,3,4,1,1583.15606
4th,WR,WR,WR,WR,WR,QB,RB,TE,QB,0,6,2,1,1583.14356
4th,WR,WR,WR,QB,RB,QB,WR,TE,WR,0,6,2,1,1583.12806
6th,WR,WR,QB,QB,WR,RB,RB,TE,WR,0,4,4,1,1583.10902
4th,RB,RB,RB,WR,WR,QB,WR,WR,WR,1,2,4,2,1583.09328
12th,WR,WR,TE,RB,WR,QB,QB,WR,WR,0,5,3,1,1583.08538
12th,WR,RB,TE,QB,RB,TE,RB,QB,RB,0,3,6,0,1583.08082
6th,RB,RB,WR,WR,WR,QB,TE,RB,WR,1,4,3,1,1583.0715
4th,WR,RB,WR,WR,WR,QB,TE,RB,WR,1,3,3,2,1583.04996
12th,RB,RB,RB,WR,TE,RB,QB,WR,WR,1,1,6,1,1583.04728
12th,RB,WR,WR,RB,WR,WR,QB,TE,WR,1,4,3,1,1583.04392
1st,WR,WR,RB,WR,TE,WR,RB,RB,QB,1,2,4,2,1583.03272
1st,WR,RB,RB,WR,WR,WR,QB,RB,TE,1,3,4,1,1583.03082
1st,TE,WR,RB,QB,TE,WR,WR,RB,RB,1,3,5,0,1583.03006
4th,RB,WR,WR,RB,WR,QB,WR,RB,TE,1,3,4,1,1583.02274
9th,RB,WR,TE,WR,WR,RB,WR,QB,RB,1,2,4,2,1583.01792
6th,RB,RB,QB,WR,QB,WR,WR,TE,WR,0,4,4,1,1583.01526
9th,RB,WR,QB,WR,WR,QB,WR,RB,TE,0,4,5,0,1583.00296
9th,WR,RB,WR,QB,WR,RB,RB,QB,RB,1,3,4,1,1583
12th,WR,RB,WR,RB,RB,QB,WR,QB,TE,0,4,5,0,1583
6th,RB,WR,QB,WR,RB,WR,RB,TE,WR,1,3,4,1,1583
4th,RB,WR,TE,WR,QB,QB,WR,TE,WR,0,6,3,0,1583
1st,WR,WR,QB,QB,RB,TE,RB,RB,RB,0,3,5,1,1583
9th,RB,WR,WR,QB,QB,QB,WR,WR,TE,0,5,2,2,1583
9th,RB,WR,WR,WR,QB,TE,TE,QB,WR,0,6,3,0,1583
6th,WR,WR,RB,RB,WR,WR,RB,QB,QB,0,5,3,1,1583
4th,WR,WR,RB,RB,QB,QB,TE,TE,RB,0,4,5,0,1583
1st,RB,WR,WR,WR,TE,QB,WR,WR,WR,1,4,3,1,1583
4th,RB,WR,WR,WR,WR,QB,WR,WR,TE,1,5,2,1,1583
4th,WR,WR,WR,WR,WR,RB,QB,QB,TE,0,6,2,1,1583
6th,TE,WR,WR,WR,QB,QB,RB,RB,RB,0,3,6,0,1583
1st,WR,RB,RB,QB,WR,WR,RB,RB,WR,1,2,3,3,1583
9th,WR,WR,TE,RB,QB,QB,WR,WR,TE,0,5,3,1,1583
6th,RB,WR,WR,WR,RB,RB,RB,QB,TE,1,1,5,2,1583
9th,RB,WR,WR,TE,QB,RB,WR,WR,WR,1,4,3,1,1583
4th,WR,RB,WR,QB,WR,WR,TE,WR,TE,0,4,4,1,1583
1st,RB,RB,RB,RB,RB,WR,QB,WR,QB,0,0,6,3,1583
9th,RB,WR,WR,QB,TE,RB,WR,WR,WR,1,4,3,1,1583
1st,RB,RB,RB,RB,RB,WR,QB,QB,TE,0,0,7,2,1583
9th,RB,RB,WR,QB,WR,WR,RB,TE,TE,0,2,7,0,1583
1st,RB,WR,RB,QB,TE,QB,WR,WR,WR,0,4,4,1,1583
12th,RB,WR,WR,TE,TE,QB,QB,WR,WR,0,6,3,0,1583
12th,WR,RB,RB,TE,QB,WR,QB,WR,TE,0,3,5,1,1583
1st,RB,QB,WR,QB,WR,WR,TE,QB,WR,0,4,3,2,1583
6th,RB,RB,RB,RB,RB,QB,QB,QB,WR,0,0,7,2,1583
4th,RB,WR,WR,RB,WR,WR,QB,QB,QB,0,3,4,2,1583
1st,WR,RB,WR,QB,WR,RB,RB,QB,RB,1,3,4,1,1583
12th,WR,WR,RB,RB,WR,WR,RB,QB,QB,0,5,3,1,1583
4th,RB,WR,RB,RB,QB,QB,RB,WR,WR,0,2,5,2,1582.99728
9th,RB,RB,WR,WR,WR,QB,TE,WR,RB,1,5,2,1,1582.97994
6th,WR,WR,QB,RB,WR,TE,TE,WR,RB,1,5,3,0,1582.96398
6th,RB,WR,QB,RB,WR,TE,RB,QB,WR,0,2,6,1,1582.96318
12th,WR,WR,RB,RB,WR,QB,RB,TE,RB,1,2,5,1,1582.9492
9th,RB,RB,QB,WR,WR,RB,WR,TE,WR,1,2,5,1,1582.94778
9th,RB,RB,RB,TE,QB,WR,WR,QB,WR,0,1,7,1,1582.93316
1st,RB,RB,WR,WR,RB,QB,WR,TE,RB,1,3,4,1,1582.92524
9th,RB,WR,QB,TE,WR,WR,WR,RB,RB,1,3,4,1,1582.92348
12th,RB,RB,RB,WR,WR,TE,QB,WR,WR,1,2,5,1,1582.92186
12th,WR,RB,TE,QB,QB,QB,RB,TE,RB,0,2,7,0,1582.91698
4th,RB,RB,QB,WR,RB,QB,WR,WR,RB,0,1,6,2,1582.90004
6th,WR,RB,QB,RB,WR,WR,TE,WR,QB,0,4,4,1,1582.88476
6th,WR,RB,RB,WR,TE,WR,WR,QB,RB,1,3,4,1,1582.8842
4th,WR,WR,RB,QB,QB,WR,WR,WR,RB,0,3,4,2,1582.8802
1st,WR,WR,WR,RB,RB,WR,TE,QB,WR,1,4,3,1,1582.85208
9th,RB,WR,QB,RB,WR,TE,RB,WR,WR,1,3,4,1,1582.8464
6th,RB,WR,QB,WR,WR,TE,QB,RB,RB,0,3,4,2,1582.8343
9th,RB,RB,RB,TE,WR,RB,QB,QB,RB,0,0,8,1,1582.8325
6th,WR,RB,RB,WR,WR,WR,QB,RB,TE,1,3,4,1,1582.82964
9th,RB,RB,QB,WR,WR,WR,QB,TE,WR,0,4,4,1,1582.82906
4th,WR,RB,TE,WR,QB,QB,TE,QB,WR,0,5,4,0,1582.82784
1st,WR,RB,TE,QB,RB,TE,RB,QB,RB,0,2,7,0,1582.82316
1st,RB,RB,QB,WR,WR,WR,QB,TE,WR,0,4,4,1,1582.78424
1st,WR,WR,RB,TE,RB,RB,WR,WR,QB,1,3,4,1,1582.7639
1st,WR,RB,RB,TE,WR,WR,WR,QB,RB,1,3,4,1,1582.7614
1st,RB,RB,RB,RB,WR,WR,WR,QB,TE,1,0,6,2,1582.75844
9th,RB,RB,RB,QB,TE,WR,QB,WR,TE,0,2,7,0,1582.74818
12th,WR,QB,WR,RB,TE,QB,WR,RB,WR,0,4,3,2,1582.73492
12th,WR,RB,WR,RB,WR,RB,WR,QB,WR,2,2,3,2,1582.72852
12th,RB,RB,RB,QB,WR,QB,WR,WR,WR,0,1,6,2,1582.71628
9th,RB,RB,QB,TE,WR,RB,QB,RB,WR,0,1,7,1,1582.71028
6th,WR,WR,RB,TE,RB,WR,WR,QB,WR,1,4,3,1,1582.70322
1st,RB,RB,RB,WR,WR,WR,QB,TE,TE,1,1,7,0,1582.68596
6th,WR,RB,RB,WR,WR,WR,QB,RB,WR,1,3,3,2,1582.67388
6th,WR,RB,WR,RB,RB,TE,RB,QB,RB,1,1,6,1,1582.67182
9th,RB,WR,QB,WR,WR,WR,QB,RB,TE,0,3,4,2,1582.66888
1st,WR,RB,TE,TE,RB,RB,WR,QB,RB,1,2,6,0,1582.66148
1st,WR,RB,WR,QB,WR,WR,TE,RB,WR,1,3,4,1,1582.6562
6th,TE,RB,RB,RB,WR,WR,QB,WR,TE,1,1,7,0,1582.64078
12th,WR,RB,WR,QB,TE,WR,QB,QB,WR,0,4,4,1,1582.6341
6th,WR,WR,RB,RB,WR,QB,WR,WR,WR,1,4,2,2,1582.62034
12th,RB,RB,WR,QB,WR,RB,WR,RB,QB,0,0,7,2,1582.59902
6th,WR,WR,RB,RB,QB,RB,RB,WR,WR,1,2,4,2,1582.59508
4th,RB,RB,QB,RB,WR,QB,TE,TE,WR,0,2,6,1,1582.5882
1st,RB,QB,TE,WR,RB,WR,QB,WR,RB,0,3,5,1,1582.58748
4th,RB,RB,RB,WR,QB,RB,RB,WR,WR,1,0,6,2,1582.57644
12th,WR,WR,RB,TE,QB,QB,RB,WR,RB,0,3,4,2,1582.55792
6th,RB,RB,RB,RB,QB,WR,TE,TE,WR,2,0,6,1,1582.54934
4th,RB,QB,WR,RB,TE,WR,QB,RB,RB,0,3,5,1,1582.54842
1st,WR,RB,WR,RB,TE,QB,WR,WR,RB,1,3,4,1,1582.52608
12th,WR,RB,TE,WR,QB,QB,TE,QB,WR,0,4,5,0,1582.51234
1st,WR,RB,TE,WR,WR,TE,RB,QB,RB,1,2,6,0,1582.5092
6th,WR,RB,WR,WR,WR,QB,RB,WR,TE,1,4,3,1,1582.48714
9th,RB,RB,WR,WR,WR,QB,TE,WR,RB,1,2,5,1,1582.43354
9th,WR,RB,WR,WR,WR,QB,RB,TE,WR,1,3,3,2,1582.42778
9th,RB,RB,RB,RB,WR,QB,WR,TE,QB,0,0,8,1,1582.42042
9th,RB,RB,QB,WR,QB,RB,RB,WR,RB,0,0,7,2,1582.41528
12th,RB,RB,WR,WR,WR,WR,WR,QB,RB,1,3,1,4,1582.41074
6th,RB,QB,RB,WR,WR,WR,RB,RB,WR,1,1,4,3,1582.39784
9th,RB,WR,QB,WR,WR,RB,QB,TE,QB,0,4,4,1,1582.38138
1st,WR,WR,QB,RB,WR,QB,TE,WR,WR,0,6,2,1,1582.36516
6th,RB,RB,RB,WR,QB,TE,WR,WR,WR,1,1,6,1,1582.35486
4th,WR,RB,QB,RB,WR,WR,QB,RB,WR,0,2,5,2,1582.3526
4th,WR,WR,WR,QB,RB,WR,WR,WR,WR,1,6,0,2,1582.35196
6th,WR,WR,RB,WR,WR,RB,RB,QB,TE,1,3,4,1,1582.35058
1st,TE,WR,RB,WR,WR,WR,RB,RB,QB,2,2,4,1,1582.34336
1st,WR,WR,RB,RB,TE,QB,WR,WR,QB,0,4,4,1,1582.33946
6th,WR,WR,RB,QB,WR,QB,RB,RB,WR,0,2,5,2,1582.33364
6th,RB,WR,TE,TE,RB,WR,RB,WR,QB,1,3,5,0,1582.31578
1st,WR,RB,TE,QB,WR,QB,TE,RB,WR,0,4,5,0,1582.31082
12th,WR,RB,RB,TE,RB,RB,WR,QB,RB,1,1,6,1,1582.30088
6th,RB,RB,WR,WR,WR,QB,TE,RB,WR,1,3,4,1,1582.29992
6th,RB,QB,QB,RB,WR,WR,RB,WR,RB,0,1,6,2,1582.29786
12th,WR,RB,TE,RB,RB,TE,RB,QB,RB,1,1,7,0,1582.28892
12th,WR,WR,WR,TE,QB,RB,WR,RB,RB,1,3,4,1,1582.28634
6th,RB,WR,WR,RB,TE,QB,WR,TE,TE,1,3,5,0,1582.27832
4th,WR,RB,RB,WR,WR,QB,TE,WR,QB,0,4,4,1,1582.27382
9th,RB,RB,TE,WR,QB,WR,RB,WR,QB,0,3,5,1,1582.23486
1st,RB,RB,TE,WR,WR,QB,RB,WR,WR,1,2,4,2,1582.22514
12th,RB,WR,QB,RB,WR,TE,WR,QB,RB,0,3,5,1,1582.21908
6th,RB,RB,RB,WR,WR,WR,TE,WR,WR,2,2,4,1,1582.21686
6th,RB,RB,RB,QB,TE,WR,WR,TE,WR,1,1,7,0,1582.20698
6th,WR,RB,TE,RB,WR,WR,QB,RB,RB,1,3,4,1,1582.20434
4th,RB,RB,RB,RB,WR,WR,QB,TE,WR,1,0,6,2,1582.19736
12th,WR,WR,TE,WR,QB,WR,RB,WR,WR,1,6,1,1,1582.19582
4th,WR,RB,RB,TE,WR,WR,QB,RB,WR,1,2,5,1,1582.19338
1st,RB,RB,WR,WR,WR,TE,QB,WR,RB,1,1,6,1,1582.18368
12th,WR,QB,RB,RB,WR,WR,QB,RB,WR,0,2,5,2,1582.17614
4th,RB,RB,WR,WR,RB,WR,TE,TE,RB,2,1,6,0,1582.16854
12th,RB,RB,WR,WR,WR,QB,TE,RB,RB,1,1,6,1,1582.13812
6th,RB,RB,RB,TE,WR,QB,WR,WR,QB,0,1,7,1,1582.1378
4th,RB,WR,QB,RB,QB,WR,RB,WR,WR,0,2,5,2,1582.12398
6th,WR,TE,QB,RB,WR,WR,TE,QB,WR,0,6,3,0,1582.11278
9th,RB,WR,QB,TE,WR,RB,RB,WR,QB,0,2,6,1,1582.10606
1st,RB,RB,TE,WR,RB,WR,TE,TE,QB,1,2,6,0,1582.08128
9th,RB,RB,QB,WR,WR,WR,TE,QB,WR,0,4,4,1,1582.07602
1st,WR,WR,RB,TE,QB,WR,RB,WR,RB,1,2,5,1,1582.07452
1st,WR,WR,WR,WR,QB,RB,TE,RB,WR,1,3,4,1,1582.05776
4th,RB,WR,WR,RB,WR,WR,QB,WR,TE,1,3,3,2,1582.05146
12th,WR,WR,RB,RB,WR,TE,WR,RB,WR,3,3,2,1,1582.05072
12th,WR,RB,TE,WR,QB,QB,TE,QB,WR,0,5,4,0,1582.03488
9th,WR,RB,TE,RB,WR,QB,QB,WR,WR,0,5,3,1,1582.0324
9th,WR,WR,WR,WR,WR,TE,RB,QB,QB,0,6,2,1,1582.02764
12th,WR,WR,TE,RB,QB,QB,WR,RB,QB,0,3,4,2,1582.0178
12th,RB,WR,WR,WR,QB,TE,TE,QB,WR,0,6,3,0,1582
12th,WR,QB,RB,RB,TE,RB,WR,QB,WR,0,3,5,1,1582
1st,RB,RB,TE,QB,RB,TE,RB,RB,QB,0,0,9,0,1582
4th,RB,WR,WR,WR,QB,RB,TE,QB,WR,1,3,4,1,1582
6th,RB,RB,WR,WR,RB,WR,WR,QB,QB,0,1,5,3,1582
4th,RB,WR,WR,WR,QB,RB,WR,WR,TE,1,4,3,1,1582
9th,RB,RB,RB,WR,WR,QB,WR,WR,QB,0,0,6,3,1582
6th,RB,WR,WR,WR,WR,TE,WR,QB,WR,1,5,2,1,1582
12th,RB,RB,RB,WR,QB,WR,WR,WR,RB,1,0,5,3,1582
12th,WR,WR,WR,RB,TE,RB,QB,RB,QB,0,4,4,1,1582
4th,WR,RB,WR,RB,QB,WR,RB,WR,RB,0,2,3,4,1582
9th,WR,WR,WR,QB,WR,WR,TE,TE,QB,0,9,0,0,1582
9th,WR,WR,RB,QB,RB,WR,TE,QB,TE,0,5,3,1,1582
9th,RB,WR,WR,WR,QB,RB,WR,WR,TE,1,4,3,1,1582
12th,RB,RB,TE,WR,WR,QB,WR,RB,WR,1,2,5,1,1582
4th,RB,WR,WR,WR,TE,RB,QB,RB,WR,1,3,4,1,1582
6th,RB,WR,WR,WR,WR,RB,WR,QB,TE,1,4,3,1,1582
12th,RB,RB,WR,WR,WR,TE,QB,WR,QB,0,3,4,2,1582
4th,RB,WR,WR,QB,WR,TE,WR,RB,QB,0,3,4,2,1582
9th,RB,WR,WR,TE,WR,WR,TE,QB,QB,0,6,3,0,1582
4th,RB,RB,WR,RB,TE,QB,QB,QB,WR,0,4,5,0,1582
4th,RB,WR,WR,WR,WR,QB,TE,QB,TE,0,6,3,0,1582
12th,WR,RB,RB,WR,RB,WR,WR,QB,WR,2,4,1,2,1582
12th,WR,WR,RB,RB,WR,RB,WR,QB,RB,1,1,5,2,1582
12th,WR,RB,RB,QB,QB,WR,RB,TE,QB,0,2,5,2,1582
9th,RB,WR,WR,WR,QB,RB,RB,WR,TE,1,3,4,1,1582
1st,RB,WR,WR,WR,WR,RB,QB,TE,WR,1,4,3,1,1582
6th,RB,RB,RB,QB,WR,WR,WR,WR,WR,2,0,5,2,1582
4th,RB,RB,WR,QB,RB,QB,QB,WR,TE,1,2,5,1,1582
6th,WR,WR,WR,WR,WR,WR,WR,TE,TE,3,6,0,0,1582
9th,RB,WR,WR,WR,WR,RB,WR,WR,QB,2,2,3,2,1582
12th,WR,RB,RB,RB,QB,TE,TE,QB,TE,0,4,5,0,1582
4th,WR,WR,WR,RB,WR,QB,TE,RB,RB,1,4,3,1,1582
4th,WR,TE,WR,QB,WR,RB,RB,WR,QB,0,5,4,0,1582
9th,WR,WR,WR,RB,WR,QB,TE,QB,RB,0,3,4,2,1582
9th,RB,WR,RB,QB,WR,RB,TE,TE,WR,0,2,7,0,1582
4th,RB,RB,WR,WR,WR,QB,WR,TE,WR,1,2,5,1,1581.97078
